doi,category,confidence,prisma_reason,basis,evidence
10.1063/5.0261878,INSTRUMENTATION,firm,"quantum instrumentation / physics, not an imaging application","Step-5 other-modality adjudication, ratified by corresponding author","NMR singlet preparation/detection; instrumentation/physics, not imaging"
10.1088/1361-6560/ae48aa,INSTRUMENTATION,borderline,"quantum instrumentation / physics, not an imaging application","Step-5 other-modality adjudication, ratified by corresponding author",entangled-photon generation via radiotherapy beams; imaging-instrumentation physics
10.1007/s42484-022-00090-0,METHOD_ONLY,borderline,no medical-imaging dataset (method demonstration on synthetic / non-imaging data),"Step-5 other-modality adjudication, ratified by corresponding author",synthetic toy (8 pts) + Forest Cover Type (non-medical tabular); no medical imaging
10.1088/2058-9565/adbcd1,METHOD_ONLY,borderline,no medical-imaging dataset (method demonstration on synthetic / non-imaging data),"Step-5 other-modality adjudication, ratified by corresponding author","generic optimization, dataset not_reported; no medical imaging"
10.1007/s11227-025-07266-y,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",tabular UCI (Iris/Heart/Ecoli); non-imaging
10.1007/s11227-025-07939-8,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",ECG signal; non-imaging modality
10.1016/j.asoc.2024.111781,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",cancer-registry tabular mortality features; non-imaging
10.1016/j.eij.2026.100901,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",EHG (electrohysterography) signal; non-imaging
10.1049/qtc2.12078,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",thyroid tabular dataset; non-imaging
10.1109/jiot.2025.3537614,NON_IMAGING,borderline,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author","Wisconsin Breast Cancer (FNA cytology image-derived) + Fetal Health (CTG signal); used as tabular benchmarks, no image processing -- image-derived, trio definitional call"
10.1109/tce.2025.3548303,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",EEG signal; non-imaging
10.1140/epjqt/s40507-026-00500-3,NON_IMAGING,firm,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author",Univ Bonn EEG + CHB-MIT scalp EEG (both signal); non-imaging
10.3389/frai.2026.1807209,NON_IMAGING,borderline,not a medical-imaging study (non-imaging medical data),"Step-5 other-modality adjudication, ratified by corresponding author","Parkinson hand-drawn spiral/meander; drawings, not radiological imaging"
10.1038/s41598-022-25280-5,NON_MEDICAL,borderline,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author","synthetic faces (thispersondoesnotexist) + 1 coauthor photo; face recognition, non-clinical"
10.1038/s41598-025-24168-4,NON_MEDICAL,borderline,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author","USC-SIPI / scikit-image / Test Card F / Ashurbanipal; general image-processing test images, non-medical"
10.1038/s41598-026-51130-9,NON_MEDICAL,borderline,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author","64x64 grayscale test image, image transmission/coding; non-medical"
