stable_name,field,verdict,action,old_value,new_or_si_value,si_quote,supp_source,verify_decision,verify_reason
10_1007_s00259_023_06362_6,modality_secondary,fills_blank,applied:fill,,MRI,[68Ga]Ga-PSMA-11 PET/MRI patients,README.md,accept,"README titles the study on [68Ga]Ga-PSMA-11 PET/MRI patients, so MRI is a genuine secondary imaging modality for this paper."
10_1007_s00259_023_06362_6,anatomy,appends_extra,applied:append,oncology,oncology; prostate,prostate cancer characterization,README.md,accept,"README explicitly identifies the study as prostate cancer characterization on primary prostate data, supporting 'prostate' as an anatomy detail."
10_1007_s00259_023_06362_6,hardware_vendor,contradicts,not_applied:reject,,,for the 11-qubit IonQ quantum device,distance classifier for data with IonQ simulator and real device.ipynb,reject,"The '11-qubit IonQ quantum device' appears only in a commented-out backend line; the active code uses ionq.simulator, and the 11-qubit (Harmony) reference plausibly denotes a different IonQ device than the 21-qubit Aria in the extraction, not a same-configuration disagreement."
10_1007_s00259_023_06362_6,shot_count,fills_blank,applied:fill,not_reported,1000 shots,shots=1000,distance classifier for data with IonQ simulator and real device.ipynb,accept,"The distance-classifier notebook calls the classifier with shots=1000, a plausible shot count within range."
10_1007_s00259_023_06362_6,data_release,contradicts,annotated:contradiction,FALSE,True,https://osf.io/3nkx8/,README.md,accept,"README provides an OSF link to the anonymized radiomic dataset the study relied on, so the data are released and data_release should be true."
10_1007_s00259_023_06362_6,data_identifier,fills_blank,applied:fill,,https://osf.io/3nkx8/,https://osf.io/3nkx8/,README.md,accept,README gives the OSF repository URL as the dataset identifier for this study.
10_1007_s00259_023_06362_6,reporting_standard_adherence,appends_extra,applied:append,CLAIM_2024,CLAIM_2024; IBSI,IBSI-conform radiomic dataset,README.md,accept,"README states the dataset is IBSI-conform, indicating adherence to the IBSI radiomic standard as an additional reporting-standard detail."
10_1007_s11467_024_1391_x,hardware_modality,fills_blank,applied:fill,not_reported,NMR,nuclear magnetic resonance (NMR),11467_2024_1391_MOESM1_ESM.pdf,accept,"Appendix C explicitly states experiments used an NMR quantum processor, and the modality field is blank in the extraction."
10_1007_s11467_024_1391_x,parameter_count,fills_blank,applied:fill,not_reported,seven parameters (PQC),The PQC comprises seven parameters,11467_2024_1391_MOESM1_ESM.pdf,accept,"The SI states the PQC has seven parameters, a plausible parameter count and this paper's own method."
10_1007_s11467_024_1391_x,performance_metrics_quantum,appends_extra,applied:append,classification accuracy (Group 1)=92.31%; classification accuracy (Group 2)=87.17%; eigenvector fidelity (e1)=0.9998; eigenvector fidelity (e2)=0.9999; state fidelity=0.96,classification accuracy (Group 1)=92.31%; classification accuracy (Group 2)=87.17%; eigenvector fidelity (e1)=0.9998; eigenvector fidelity (e2)=0.9999; state fidelity=0.96; classification accuracy (Group 3)=80.83%; classification accuracy (Group 4)=82.36%,"80.83% for Group 3, and 82.36% for Group 4",11467_2024_1391_MOESM1_ESM.pdf,accept,"Group 3 (80.83%) and Group 4 (82.36%) success rates are stated in the SI and belong to this paper's own qPCA experiments, extending the already-extracted Group 1 and Group 2 accuracies."
10_1007_s11760_023_02857_9,anatomy,appends_extra,applied:append,neurology; oncology,neurology; oncology; chest,Chest (1),11760_2023_2857_MOESM1_ESM.docx,accept,"The SI dataset breakdown table lists Chest among the imaged anatomies (CT, DX, CR rows), so chest is a genuine anatomy in this paper's own DICOM dataset."
10_1007_s11760_023_02857_9,performance_metrics_classical,appends_extra,applied:append,PSNR (Prewitt)=65.32%; MSE (Prewitt)=0.0306%; MSE (Sobel)=0.45%; MSE (Fuzzy Entropy)=0.25%; CNR (NEE Filter)=30.1%; CNR (NLM Filter)=20.34%; CNR (Guided Filter)=7.2%; accuracy (ILBP)=95.36%; accuracy (R-CNN)=93.26%; accuracy (random forest)=79.12%; MAE (Canny)=0.3; MAE (Multilayer Neural Network)=0.378,PSNR (Prewitt)=65.32%; MSE (Prewitt)=0.0306%; MSE (Sobel)=0.45%; MSE (Fuzzy Entropy)=0.25%; CNR (NEE Filter)=30.1%; CNR (NLM Filter)=20.34%; CNR (Guided Filter)=7.2%; accuracy (ILBP)=95.36%; accuracy (R-CNN)=93.26%; accuracy (random forest)=79.12%; MAE (Canny)=0.3; MAE (Multilayer Neural Network)=0.378; PSNR (Canny)=62.4%,62.4,11760_2023_2857_MOESM1_ESM.docx,accept,"Table S4 (MSE and PSNR comparison) shows the Canny technique with a Peak Signal To Noise Ratio (%) of 62.4, a legitimate classical-method metric not already in the extraction."
10_1007_s11760_023_02857_9,code_release,contradicts,annotated:contradiction,FALSE,True,Matlab Code for Quantum Image Processing,11760_2023_2857_MOESM1_ESM.docx,accept,"The SI Appendix contains actual author MATLAB source code implementing the paper's method (NEQR, denoising, hill_entropy edge detection), so code is released and code_release should be true."
10_1007_s11760_023_02857_9,error_mitigation_strategy,confirms,noop:confirms,"neural network-based hybrid filter, comprising neural edge enhancers and bilateral filters, used as a fusion operator to eliminate quantum noise from the output image",,,11760_2023_2857_MOESM1_ESM.docx_image2.jpeg,accept,"SI figure (image2) shows the NN-based hybrid filter architecture with Bilateral Filters and Neural Edge Enhancer feeding a Neural Network Filter fusion operator that outputs the filtered image, matching the extracted description."
10_1007_s13369_021_06511_9,dataset_name,appends_extra,not_applied:reject,,,standard Lena image,13369_2021_6511_MOESM1_ESM.pdf,reject,"The Lena image is a standard benchmark test image used only for comparison with prior works, not the paper's study dataset (chest CT / COVID-19)."
10_1007_s13369_021_06511_9,performance_metrics_classical,fills_blank,not_applied:reject,,,40.0435,13369_2021_6511_MOESM1_ESM.pdf,reject,"40.0435 is the Classical Sobel PSNR on the standard Lena benchmark image, not on the paper's chest CT study data (whose classical Sobel PSNR is 8.1277 dB in Table S.8); it is a benchmark-tied value."
10_1016_j_artmed_2025_103322,simulator_framework,contradicts,annotated:contradiction,Qiskit_Aer,PennyLane (default.qubit),import pennylane as qml,02_QENN.ipynb,accept,"The notebook imports PennyLane and instantiates the default.qubit simulator; no Qiskit/Aer appears anywhere, so this genuinely disagrees with the extracted Qiskit_Aer for the same quantity."
10_1016_j_artmed_2025_103322,ansatz_family,fills_blank,applied:fill,not_reported,"quantum convolutional (QCNN-style: parameterized RY/RZ rotations with CNOT entanglement, plus quantum pooling)","def _quantum_convolution(self, params):",02_QENN.ipynb,accept,"The circuit builds two quantum-convolution blocks of parameterized RY/RZ rotations with CNOT entanglement plus a quantum-pooling readout, i.e. a QCNN-style ansatz; extraction was not_reported."
10_1016_j_artmed_2025_103322,parameter_count,fills_blank,applied:fill,not_reported,"32 trainable quantum parameters (conv1_params: 16, conv2_params: 16)","""conv1_params"": (16,),",02_QENN.ipynb,accept,"weight_shapes defines conv1_params (16,) and conv2_params (16,), giving 32 trainable quantum parameters; plausible and grounded."
10_1016_j_artmed_2025_103322,image_encoding,contradicts,annotated:contradiction,amplitude,angle,"qml.AngleEmbedding(inputs, wires=range(self.n_qubits), rotation='Y')",02_QENN.ipynb,accept,"Encoding uses qml.AngleEmbedding (angle/rotation encoding), which contradicts the extracted amplitude encoding for the same encoding step."
10_1016_j_asoc_2025_113631,anatomy,appends_extra,applied:append,oncology,oncology; breast,breast cancer classification,README.md,accept,"The paper is explicitly a breast cancer classification framework, so breast is a valid anatomy value."
10_1016_j_asoc_2025_113631,simulator_framework,appends_extra,applied:append,Qiskit_Aer,Qiskit_Aer; PennyLane,PennyLane 0.41.1,README.md,accept,"PennyLane 0.41.1 is listed among the required packages for this paper's own code release, consistent with a VQC-based hybrid model."
10_1016_j_engappai_2025_111938,sample_size_justification_reported,contradicts,annotated:contradiction,FALSE,True,"Thus, a minimum of 827 samples is required for this study of interest.",1-s2.0-S0952197625019402-mmc1.docx,accept,"The SI contains a full sample-size calculation deriving n=827 from ROP prevalence, so a justification IS reported, contradicting the extracted FALSE."
